periodo,temperatura_minima,temperatura_media,temperatura_maxima,humedad,velocidad_viento,direccion_viento,velocidad_max_viento,barometro,mm_lluvia,radiacion_solar
2010-01-01,20.3,26.1,13.1,29.8,12.4,NE,40.2,1005.8,0.3,333.1
2010-01-02,25.9,34.6,14.2,29.3,8.4,E,40.2,1005.2,0.0,281.5
2010-01-03,25.2,33.1,16.4,40.3,8.8,N,45.1,1003.5,0.0,333.7
2010-01-04,25.1,33.8,16.4,35.0,5.8,NNE,43.5,1002.3,0.0,343.8
2010-01-05,17.7,21.3,13.7,36.3,11.8,N,48.3,1004.9,0.0,190.8
2010-01-06,17.9,24.9,11.9,31.1,10.6,E,43.5,1011.4,0.0,362.8
2010-01-07,20.1,29.1,7.5,29.3,6.2,NNE,35.4,1007.0,0.0,336.6
2010-01-08,20.6,27.7,12.7,27.3,9.3,E,49.9,1001.6,0.0,151.1
2010-01-09,19.5,28.0,9.5,33.8,9.8,NE,67.6,1003.5,0.0,285.2
2010-01-10,19.4,29.1,9.3,28.4,8.2,E,32.2,1006.9,0.0,354.5
2010-01-11,19.0,27.3,9.0,40.1,,,,997.0,0.0,263.5
2010-01-12,17.9,22.0,13.5,26.4,,,,1002.5,0.0,284.7
2010-01-13,20.8,26.7,15.3,27.9,,,,1005.5,0.0,315.8
2010-01-14,23.8,33.0,15.0,26.9,,,,1010.8,0.0,324.7
2010-01-15,24.2,34.1,12.1,26.8,,,,1009.0,0.0,308.3
2010-01-16,24.9,30.4,16.1,31.1,,,,1003.2,0.0,209.8
2010-01-17,22.0,28.0,15.6,23.8,,,,1005.7,0.0,341.8
2010-01-18,21.6,28.2,13.9,28.3,,,,1006.2,0.0,345.4
2010-01-19,22.1,29.3,9.7,31.2,,,,1007.6,0.0,332.6
2010-01-20,25.3,33.7,15.4,33.0,,,,1004.7,0.0,311.3
2010-01-21,21.6,29.4,16.4,28.7,,,,1012.0,0.0,343.6
2010-01-22,22.3,32.6,11.2,33.6,,,,1010.5,0.0,316.8
2010-01-23,23.4,32.9,13.8,31.7,,,,1010.5,0.0,321.6
2010-01-24,24.1,32.4,14.2,24.8,,,,1010.2,0.0,320.7
2010-01-25,24.1,36.4,11.3,30.8,,,,1010.6,0.0,331.8
2010-01-26,22.7,29.8,15.6,37.7,,,,1009.3,0.0,281.3
2010-01-27,22.6,32.8,12.2,42.0,,,,1006.1,0.0,291.0
2010-01-28,24.5,33.5,15.0,31.2,,,,997.4,0.0,284.3
2010-01-29,16.1,22.3,11.9,34.3,,,,1003.7,0.0,186.8
2010-01-30,14.6,21.9,4.0,27.8,,,,1016.3,0.0,323.8
2010-01-31,21.8,29.8,12.4,31.4,,,,1007.8,0.0,312.8
2010-02-01,19.9,24.8,13.7,30.3,,,,1003.0,0.0,225.7
2010-02-02,17.6,23.9,8.0,45.5,,,,999.6,0.0,310.3
2010-02-03,17.3,20.6,13.9,29.2,,,,997.5,0.0,290.2
2010-02-04,17.5,25.3,7.5,30.2,,,,1000.5,0.0,145.6
2010-02-05,21.6,29.2,12.0,36.3,,,,1000.6,0.0,284.8
2010-02-06,21.8,29.8,9.2,40.2,,,,996.0,0.0,245.1
2010-02-07,20.8,25.1,17.3,28.3,,,,1000.6,0.0,258.5
2010-02-08,21.9,28.0,13.7,33.8,,,,1000.0,0.0,181.3
2010-02-09,20.0,26.6,15.0,30.3,,,,993.3,0.0,203.3
2010-02-10,17.9,25.1,12.0,23.8,,,,1004.5,0.0,291.8
2010-02-11,17.9,25.6,13.0,37.1,,,,1011.0,0.0,248.3
2010-02-12,21.4,29.3,12.3,49.9,,,,1007.6,0.0,210.9
2010-02-13,17.1,21.7,11.7,40.0,,,,1010.1,0.0,285.8
2010-02-14,13.3,21.3,5.9,50.7,,,,1015.5,0.0,253.1
2010-02-15,12.2,19.4,6.4,53.7,,,,1019.5,0.0,175.7
2010-02-16,11.2,13.2,9.4,76.7,,,,1018.1,0.5,50.3
2010-02-17,17.9,25.0,11.7,78.8,,,,1004.6,18.8,154.5
2010-02-18,18.8,27.2,11.1,59.8,,,,1003.4,0.0,254.8
2010-02-19,16.8,24.4,10.1,56.8,,,,1008.9,0.0,258.2
2010-02-20,15.5,23.6,7.3,72.3,,,,1016.8,0.0,274.4
2010-02-21,18.9,24.4,13.8,69.3,,,,1014.5,0.0,155.4
2010-02-22,17.3,22.2,11.4,54.1,,,,1007.6,0.0,249.5
2010-02-23,14.9,20.7,10.2,41.1,,,,1015.4,0.0,273.5
2010-02-24,14.2,22.9,5.1,52.3,,,,1023.3,0.0,264.5
2010-02-25,19.5,32.9,9.1,46.1,,,,1014.7,0.0,262.1
2010-02-26,21.3,32.2,13.0,38.8,,,,1010.9,0.0,258.7
2010-02-27,18.0,25.8,8.7,54.0,,,,1019.3,0.0,245.8
2010-02-28,24.3,36.2,14.8,41.3,,,,1010.5,0.0,251.3
2010-03-01,19.5,23.8,11.9,44.8,,,,1012.8,0.0,247.8
2010-03-02,20.1,29.6,15.4,72.7,,,,1011.3,1.8,157.9
2010-03-03,18.0,21.2,12.4,72.4,,,,1017.2,1.3,69.8
2010-03-04,16.7,21.3,12.3,80.6,,,,1019.6,0.3,126.3
2010-03-05,17.8,23.7,15.2,82.3,,,,1016.4,0.0,134.1
2010-03-06,19.3,27.6,14.9,75.1,,,,1012.6,0.0,187.0
2010-03-07,22.2,29.7,16.3,67.1,,,,1005.8,3.8,139.3
2010-03-08,17.3,21.6,11.6,48.0,,,,1016.4,0.0,147.5
2010-03-09,16.4,24.9,9.7,65.4,,,,1015.4,0.0,127.0
2010-03-10,16.0,23.3,9.0,56.5,,,,1013.7,0.0,226.8
2010-03-11,13.7,22.0,5.8,59.3,,,,1015.0,0.0,226.3
2010-03-12,16.3,24.2,6.8,42.7,,,,1004.9,0.0,217.8
2010-03-13,18.6,22.9,13.3,25.1,,,,993.7,0.0,157.1
2010-03-14,12.5,16.7,8.0,33.3,,,,1006.9,0.0,212.4
2010-03-15,13.2,20.7,7.4,49.7,,,,1014.0,0.0,216.8
2010-03-16,18.4,29.6,8.2,45.9,,,,1007.2,0.0,206.3
2010-03-17,20.7,28.1,12.6,44.6,,,,1005.4,0.0,172.9
2010-03-18,17.1,23.1,11.2,76.8,,,,1010.2,0.8,145.7
2010-03-19,15.3,22.5,10.6,72.9,,,,1017.0,0.0,209.4
2010-03-20,18.8,26.1,12.2,55.7,,,,1008.0,0.0,151.7
2010-03-21,18.2,23.7,10.2,41.3,,,,999.1,0.0,181.8
2010-03-22,16.8,21.8,11.7,35.9,,,,998.1,0.0,151.1
2010-03-23,16.0,21.7,6.6,45.2,,,,1002.2,0.3,193.0
2010-03-24,14.2,24.8,2.2,54.8,,,,1016.1,0.0,176.4
2010-03-25,19.0,27.2,9.2,52.3,,,,1010.8,0.0,149.5
2010-03-26,20.3,27.3,12.9,45.3,,,,1010.6,0.0,131.2
2010-03-27,16.7,25.5,8.8,51.8,,,,1019.6,0.0,186.1
2010-03-28,18.0,28.0,10.8,50.3,,,,1013.3,0.0,172.3
2010-03-29,13.9,20.3,9.6,66.3,,,,1017.3,0.0,166.3
2010-03-30,16.7,25.0,9.2,67.8,,,,1012.6,0.0,139.9
2010-03-31,18.5,25.0,14.2,56.6,,,,1000.9,0.5,118.3
2010-04-01,16.2,23.3,10.1,40.6,,,,1005.6,0.0,141.3
2010-04-02,12.4,19.4,7.4,38.2,,,,1012.8,0.0,165.8
2010-04-03,9.0,15.0,4.2,56.4,,,,1028.3,0.0,164.8
2010-04-04,11.1,20.2,2.1,54.6,,,,1026.6,0.0,169.9
2010-04-05,17.4,26.6,8.3,43.8,,,,1017.1,0.0,165.7
2010-04-06,19.0,27.4,9.7,42.8,,,,1011.5,0.0,153.5
2010-04-07,13.0,19.1,3.9,52.1,,,,1026.6,0.0,158.9
2010-04-08,16.3,25.2,7.8,64.8,,,,1020.2,0.0,136.0
2010-04-09,20.0,29.5,12.1,53.4,,,,1013.2,0.0,128.2
2010-04-10,18.4,25.9,11.1,52.0,,,,1008.5,0.0,144.8
2010-04-11,12.9,18.5,6.8,64.5,,,,1008.8,3.5,106.3
2010-04-12,10.6,19.1,2.1,71.4,,,,1013.1,0.5,135.0
2010-04-13,11.1,15.7,5.3,67.4,,,,1026.0,0.0,125.4
2010-04-14,10.0,22.0,0.4,67.3,,,,1020.4,0.0,142.1
2010-04-15,12.5,23.9,3.9,62.7,,,,1009.6,0.0,143.8
2010-04-16,13.6,22.6,4.8,53.3,,,,1002.6,0.0,102.8
2010-04-17,16.7,22.2,8.3,37.7,,,,1001.5,0.0,108.0
2010-04-18,14.0,19.7,5.1,40.8,,,,1001.2,0.0,112.0
2010-04-19,12.2,15.7,8.3,35.8,,,,1002.7,0.0,87.8
2010-04-20,9.2,14.8,2.1,38.8,,,,1010.5,0.0,131.2
2010-04-21,7.2,11.6,0.7,52.7,,,,1012.1,0.0,84.8
2010-04-22,3.3,11.9,-3.1,58.0,,,,1022.3,0.0,130.3
2010-04-23,5.3,16.4,-4.2,59.6,,,,1019.4,0.0,124.3
2010-04-24,7.2,16.7,-2.7,59.3,,,,1014.8,0.0,144.3
2010-04-25,6.8,19.1,-2.7,59.4,,,,1014.1,0.0,123.6
2010-04-26,9.2,20.3,-0.1,51.0,,,,1009.1,0.0,110.8
2010-04-27,10.0,19.1,-1.2,47.3,,,,1010.1,0.0,124.3
2010-04-28,12.5,20.6,2.5,40.3,,,,1013.6,0.0,110.9
2010-04-29,13.3,21.8,0.6,32.2,,,,1011.9,0.0,107.3
2010-04-30,21.3,25.5,16.6,35.7,,,,1003.0,0.0,79.3
2010-05-01,23.0,29.3,13.1,34.8,,,,1001.8,0.0,108.3
2010-05-02,13.1,19.6,7.8,59.6,,,,1008.4,0.0,45.7
2010-05-03,8.4,16.4,0.4,57.3,,,,1014.7,0.0,75.4
2010-05-04,9.9,18.3,0.1,48.0,,,,1009.1,0.0,83.8
2010-05-05,12.2,19.1,7.0,52.8,,,,997.7,0.0,66.5
2010-05-06,9.7,15.8,3.1,36.8,,,,1012.8,0.0,101.1
2010-05-07,9.5,19.2,0.8,49.3,,,,1018.5,0.0,99.7
2010-05-08,9.8,19.4,1.1,54.1,,,,1023.7,0.0,98.4
2010-05-09,8.5,19.7,-1.3,69.3,,,,1028.1,0.0,95.7
2010-05-10,13.9,21.6,7.7,57.2,,,,1021.4,0.0,93.4
2010-05-11,16.8,22.9,11.9,36.4,,,,1010.4,0.0,73.7
2010-05-12,11.7,16.6,0.6,35.1,,,,1012.1,0.0,83.2
2010-05-13,6.2,17.3,-3.3,47.9,,,,1005.1,0.0,84.8
2010-05-14,8.2,12.7,4.4,45.8,,,,1012.9,0.0,65.3
2010-05-15,4.6,11.9,0.1,53.9,,,,1024.7,0.0,88.2
2010-05-16,6.4,17.0,-3.5,45.9,,,,1015.7,0.0,77.6
2010-05-17,9.3,20.3,0.8,35.3,,,,1010.1,0.0,59.3
2010-05-18,13.7,19.2,6.1,37.3,,,,1004.7,0.0,23.1
2010-05-19,8.7,14.7,1.3,44.8,,,,1015.4,0.0,77.8
2010-05-20,4.9,16.8,-4.9,51.3,,,,1017.4,0.0,82.6
2010-05-21,7.5,16.8,2.2,49.7,,,,1015.0,0.0,51.2
2010-05-22,8.8,14.5,1.8,69.1,,,,1015.5,1.3,43.7
