carne_producida,carneros,corderos,direccion_viento,finura_lana,humedad,lana_producida,localidad,mm_lluvia,muertes,ovejas,pariciones,rinde_lana,temperatura_maxima,temperatura_minima,velocidad_viento,periodo
54,5,162,102,1070,51.0,1634,Gaiman,0.0,40,2766,245,2755,10.4,14.4,5.9,2010-01-01
158,1,122,170,1432,52.9,2578,Gaiman,0.0,41,1595,331,1601,13.8,18.1,7.6,2010-01-02
192,3,170,171,2813,61.6,2396,Gaiman,0.0,38,1107,278,1274,13.5,17.1,2.0,2010-01-03
396,5,128,109,1228,47.5,2295,Gaiman,0.0,9,1170,398,1384,10.6,15.3,5.2,2010-01-04
146,2,130,104,1526,44.0,2241,Gaiman,0.0,46,1183,232,2922,8.5,12.0,7.4,2010-01-05
215,4,125,135,2425,38.7,2726,Gaiman,0.0,35,1154,330,2261,11.1,14.5,8.6,2010-01-06
787,4,94,93,1872,44.9,1016,Gaiman,0.0,38,2859,436,1554,10.6,14.7,6.6,2010-01-07
675,5,94,160,2194,61.2,2119,Gaiman,4.8,6,2815,367,2627,8.7,12.7,5.5,2010-01-08
55,4,142,132,2489,59.5,2664,Gaiman,1.0,9,2954,218,2702,8.0,11.9,5.5,2010-01-09
870,1,119,95,2840,51.1,2422,Gaiman,0.0,13,1309,346,2976,6.4,14.2,3.2,2010-01-10
88,4,151,177,2745,52.7,2656,Gaiman,0.0,47,2099,257,2513,7.0,13.1,5.7,2010-01-11
509,5,109,152,2675,39.8,2918,Gaiman,0.0,3,1345,322,1733,9.6,13.3,11.5,2010-01-12
481,3,103,110,1936,46.6,2708,Gaiman,0.0,41,2235,324,1079,12.5,15.8,8.8,2010-01-13
945,4,115,139,1330,50.2,1960,Gaiman,0.0,29,1087,474,1634,13.8,17.3,8.2,2010-01-14
335,5,163,131,1242,59.6,2174,Gaiman,0.0,26,1603,489,2582,14.2,17.1,4.4,2010-01-15
800,4,112,98,2805,51.7,2843,Gaiman,0.3,46,1101,415,1596,9.7,16.4,6.2,2010-01-16
195,4,180,127,2703,55.0,1904,Gaiman,0.0,12,1927,270,1262,9.8,14.5,5.4,2010-01-17
639,2,124,161,1094,44.6,1732,Gaiman,0.0,42,2766,216,2973,12.4,16.2,7.4,2010-01-18
840,3,121,113,1121,53.0,1668,Gaiman,0.0,16,2290,479,2010,8.2,16.1,5.9,2010-01-19
713,3,154,180,1749,49.2,1918,Gaiman,0.0,15,2629,450,1172,14.0,18.4,6.7,2010-01-20
666,4,113,153,1496,41.4,2078,Gaiman,0.0,27,2249,464,2457,12.4,16.0,6.9,2010-01-21
636,5,171,111,1319,48.6,1175,Gaiman,0.0,48,1643,427,1628,12.7,16.4,8.8,2010-01-22
327,1,176,103,1238,51.5,2681,Gaiman,0.0,36,2199,207,1471,11.9,17.5,6.2,2010-01-23
998,3,128,173,1298,31.1,2695,Gaiman,0.0,37,2822,246,2891,12.9,16.8,10.0,2010-01-24
565,2,122,151,1260,49.6,2675,Gaiman,0.0,11,1080,491,2670,12.8,18.5,6.2,2010-01-25
453,4,172,163,2062,32.7,2971,Gaiman,0.0,13,2704,296,2347,12.8,16.9,9.6,2010-01-26
371,3,102,160,1929,59.5,1035,Gaiman,4.0,29,2047,429,2590,11.8,14.2,4.6,2010-01-27
